DATA_REF_SYNTAX,SUB_EX_ID,ENS_MEMBER,TABLE_ID,VAR_NAME,GRID_LABEL,VERSION_NO,HANDLE,SUBPANEL
CMIP6.PMIP.CSIRO.ACCESS-ESM1-5.lig127k,none,r1i1p1f1,Amon,pr,gn,20191206,hdl:21.14100/a0d975a0-b410-4030-85da-157825dd69bb,
CMIP6.CMIP.CSIRO.ACCESS-ESM1-5.piControl,none,r1i1p1f1,Amon,pr,gn,20191112,hdl:21.14100/e93c79f8-e3b8-4b47-87f7-1e9e1767e137,
CMIP6.PMIP.AWI.AWI-ESM-1-1-LR.lig127k,none,r1i1p1f1,Amon,pr,gn,20200212,hdl:21.14100/6d166edb-d6ba-4da7-aef4-33923163c9a6,
CMIP6.PMIP.AWI.AWI-ESM-1-1-LR.midHolocene,none,r1i1p1f1,Amon,pr,gn,20200212,hdl:21.14100/5426beeb-9b4b-4636-b388-38a564b71219,
CMIP6.CMIP.AWI.AWI-ESM-1-1-LR.piControl,none,r1i1p1f1,Amon,pr,gn,20200212,hdl:21.14100/6c04e256-82cb-44bc-b786-1300746dcbce,
CMIP6.PMIP.NCAR.CESM2.lig127k,none,r1i1p1f1,Amon,pr,gn,20190923,hdl:21.14100/e0743424-970f-4f80-83b7-0e179be6ac14,
CMIP6.PMIP.NCAR.CESM2.midHolocene,none,r1i1p1f1,Amon,pr,gn,20190923,hdl:21.14100/9d5b74f2-d8a7-4e9f-970d-5bed044fea02,
CMIP6.PMIP.NCAR.CESM2.midPliocene-eoi400,none,r1i1p1f1,Amon,pr,gn,20200110,hdl:21.14100/14695197-9e0b-48ba-9bc8-42033efd4a26,
CMIP6.CMIP.NCAR.CESM2.piControl,none,r1i1p1f1,Amon,pr,gn,20190320,hdl:21.14100/5d921648-950e-4f30-a5a2-9b7559056784,
CMIP6.PMIP.CNRM-CERFACS.CNRM-CM6-1.lig127k,none,r1i1p1f2,Amon,pr,gr,20200212,hdl:21.14100/1f484b7d-c1a5-4445-9d1e-c1d5a12072ba,
CMIP6.CMIP.CNRM-CERFACS.CNRM-CM6-1.piControl,none,r1i1p1f2,Amon,pr,gr,20180814,hdl:21.14100/1eeb736e-24f6-4f39-b314-838bcc6a4339,
CMIP6.PMIP.EC-Earth-Consortium.EC-Earth3-LR.lig127k,none,r1i1p1f1,Amon,pr,gr,20200409,hdl:21.14100/009b3c7e-8555-480c-a569-cba84848b04c,
CMIP6.PMIP.EC-Earth-Consortium.EC-Earth3-LR.midHolocene,none,r1i1p1f1,Amon,pr,gr,20200409,hdl:21.14100/2fa27b1a-f96f-4b3b-849e-eeb91d478b2d,
CMIP6.CMIP.EC-Earth-Consortium.EC-Earth3-LR.piControl,none,r1i1p1f1,Amon,pr,gr,20200409,hdl:21.14100/bad4d7df-2ceb-4973-b47c-7480b1f713ef,
CMIP6.PMIP.CAS.FGOALS-f3-L.lig127k,none,r1i1p1f1,Amon,pr,gr,20191025,hdl:21.14100/4d2984e3-2a2d-4262-b417-b2e5d819f316,
CMIP6.PMIP.CAS.FGOALS-f3-L.midHolocene,none,r1i1p1f1,Amon,pr,gr,20191025,hdl:21.14100/017c112e-0722-452a-847c-2438e73c6159,
CMIP6.CMIP.CAS.FGOALS-f3-L.piControl,none,r1i1p1f1,Amon,pr,gr,20191029,hdl:21.14100/ad255c84-e4ea-4c82-bd78-0df86d18ad84,
CMIP6.PMIP.CAS.FGOALS-g3.lig127k,none,r1i1p1f1,Amon,pr,gn,20191030,hdl:21.14100/c696e97c-ccd5-41e1-a3e0-122158cd43e5,
CMIP6.PMIP.CAS.FGOALS-g3.midHolocene,none,r1i1p1f1,Amon,pr,gn,20191024,hdl:21.14100/1c7ff83c-acae-4138-b495-bbe2e92e1692,
CMIP6.CMIP.CAS.FGOALS-g3.piControl,none,r1i1p1f1,Amon,pr,gn,20190818,hdl:21.14100/598d2636-6c7c-46a5-a722-39b4d33f3d41,
CMIP6.PMIP.NASA-GISS.GISS-E2-1-G.lig127k,none,r1i1p1f1,Amon,pr,gn,20190916,hdl:21.14100/7c355606-233f-4da5-b979-915e0a49a0cf,
CMIP6.PMIP.NASA-GISS.GISS-E2-1-G.midHolocene,none,r1i1p1f1,Amon,pr,gn,20190916,hdl:21.14100/d0054163-459f-40fa-b151-b7ffa007e734,
CMIP6.PMIP.NASA-GISS.GISS-E2-1-G.midPliocene-eoi400,none,r1i1p1f1,Amon,pr,gn,20190626,hdl:21.14100/7702caea-0f05-4ab2-824e-44dd84aa0a2a,
CMIP6.CMIP.NASA-GISS.GISS-E2-1-G.piControl,none,r1i1p1f1,Amon,pr,gn,20180824,hdl:21.14100/b4f821ca-3aba-4a8c-9bb5-c02f18ff5467,
CMIP6.PMIP.NERC.HadGEM3-GC31-LL.midHolocene,none,r1i1p1f1,Amon,tas,gn,20210111,hdl:21.14100/3b03cc8f-514e-44ca-ad60-7df6f2de6d81,
CMIP6.PMIP.NERC.HadGEM3-GC31-LL.lig127k,none,r1i1p1f1,Amon,tas,gn,20210114,hdl:21.14100/95fa33b3-5c1b-4f11-a466-1824dfac32e4,
CMIP6.PMIP.AWI.AWI-ESM-1-1-LR.lgm,none,r1i1p1f1,Amon,tas,gn,20200212,hdl:21.14100/4b93047e-ae9a-4a56-9b1f-6bc639373c52,
CMIP6.CMIP.MOHC.HadGEM3-GC31-LL.piControl,none,r1i1p1f1,Amon,pr,gn,20190628,hdl:21.14100/c1cbbfda-b0a8-4bc5-9090-9d53cb2c0200,
CMIP6.PMIP.INM.INM-CM4-8.lgm,none,r1i1p1f1,Amon,pr,gr1,20190802,hdl:21.14100/085a5c95-6fe5-4a65-b888-ecf4a1bb698f,
CMIP6.PMIP.INM.INM-CM4-8.lig127k,none,r1i1p1f1,Amon,pr,gr1,20190802,hdl:21.14100/6b4e5202-95c6-402a-9dca-87df1640a660,
CMIP6.PMIP.INM.INM-CM4-8.midHolocene,none,r1i1p1f1,Amon,pr,gr1,20190802,hdl:21.14100/021df18b-4f85-453d-8a88-5fd3e233369c,
CMIP6.CMIP.INM.INM-CM4-8.piControl,none,r1i1p1f1,Amon,pr,gr1,20190605,hdl:21.14100/8b640814-93b2-4db7-b47f-1975607afdae,
CMIP6.PMIP.IPSL.IPSL-CM6A-LR.lig127k,none,r1i1p1f1,Amon,pr,gr,20180926,hdl:21.14100/68969205-7a99-4bb4-8dfb-26f1080ab75f,
CMIP6.PMIP.IPSL.IPSL-CM6A-LR.midHolocene,none,r1i1p1f1,Amon,pr,gr,20180926,hdl:21.14100/87084de3-8822-47ac-abf9-b788fb840169,
CMIP6.PMIP.IPSL.IPSL-CM6A-LR.midPliocene-eoi400,none,r1i1p1f1,Amon,pr,gr,20190118,hdl:21.14100/351d24df-cd15-47a1-8da1-4007b2a5d932,
CMIP6.CMIP.IPSL.IPSL-CM6A-LR.piControl,none,r1i1p1f1,Amon,pr,gr,20180802,hdl:21.14100/7d8d9f22-5c11-404e-892c-d981db3d9c3d,
CMIP6.PMIP.MIROC.MIROC-ES2L.lgm,none,r1i1p1f2,Amon,pr,gn,20191002,hdl:21.14100/f7ac26d1-2686-4248-9451-71d6a1b69b6a,
CMIP6.PMIP.MIROC.MIROC-ES2L.lig127k,none,r1i1p1f2,Amon,pr,gn,20191118,hdl:21.14100/ef0200bf-f9d8-416a-b008-7aaf207cc94e,
CMIP6.PMIP.MIROC.MIROC-ES2L.midHolocene,none,r1i1p1f2,Amon,pr,gn,20191002,hdl:21.14100/8c0f2ed0-1298-4e78-a00b-43da5df013c1,
CMIP6.CMIP.MIROC.MIROC-ES2L.piControl,none,r1i1p1f2,Amon,pr,gn,20190823,hdl:21.14100/dabadc85-f140-4002-8cc3-996d2fb01a4d,
CMIP6.PMIP.MPI-M.MPI-ESM1-2-LR.lgm,none,r1i1p1f1,Amon,pr,gn,20190710,hdl:21.14100/dda3e749-ba46-415c-b3a2-9eaea21a757f,
CMIP6.PMIP.MPI-M.MPI-ESM1-2-LR.lgm,none,r1i1p1f1,Amon,pr,gn,20190710,hdl:21.14100/dda3e749-ba46-415c-b3a2-9eaea21a757f,
CMIP6.PMIP.MPI-M.MPI-ESM1-2-LR.midHolocene,none,r1i1p1f1,Amon,pr,gn,20190710,hdl:21.14100/1cf3a982-706c-439c-8c76-0bb2ed2bd334,
CMIP6.CMIP.MPI-M.MPI-ESM1-2-LR.piControl,none,r1i1p1f1,Amon,pr,gn,20190710,hdl:21.14100/cb635796-fd5f-4536-933d-6f426bfb6a14,
CMIP6.PMIP.MRI.MRI-ESM2-0.midHolocene,none,r1i1p1f1,Amon,pr,gn,20190919,hdl:21.14100/aa6a3ec7-81b0-4c45-9ac8-b92ba78807fc,
CMIP6.CMIP.MRI.MRI-ESM2-0.piControl,none,r1i1p1f1,Amon,pr,gn,20190222,hdl:21.14100/1a34e122-91c4-4c74-a248-62914ab7424c,
CMIP6.PMIP.NUIST.NESM3.lig127k,none,r1i1p1f1,Amon,pr,gn,20190909,hdl:21.14100/f68b9fbf-5c14-4996-b4aa-c2bd30e5208f,
CMIP6.PMIP.NUIST.NESM3.midHolocene,none,r1i1p1f1,Amon,pr,gn,20190813,hdl:21.14100/2651a3ab-28ca-4468-9716-be2357176877,
CMIP6.CMIP.NUIST.NESM3.piControl,none,r1i1p1f1,Amon,pr,gn,20190708,hdl:21.14100/dfd10ab1-71c4-48db-9f6c-abfd5e9acd7d,
CMIP6.PMIP.NCC.NorESM1-F.lig127k,none,r1i1p1f1,Amon,pr,gn,20190920,hdl:21.14100/7d92545d-538b-43b4-a69d-a26b492c1655,
CMIP6.PMIP.NCC.NorESM1-F.midHolocene,none,r1i1p1f1,Amon,pr,gn,20190920,hdl:21.14100/0df954f5-18d0-4880-8fd8-cb3e265ccd72,
CMIP6.PMIP.NCC.NorESM1-F.midPliocene-eoi400,none,r1i1p1f1,Amon,pr,gn,20190920,hdl:21.14100/18a20b0d-4fdc-45f7-8067-7b12796a96be,
CMIP6.CMIP.NCC.NorESM1-F.piControl,none,r1i1p1f1,Amon,pr,gn,20190920,hdl:21.14100/07bd4a06-042e-4f16-8e75-7b1c81a1b1af,
CMIP6.PMIP.NCC.NorESM2-LM.lig127k,none,r1i1p1f1,Amon,pr,gn,20191108,hdl:21.14100/61ae114e-de5b-4a78-bfc0-3373fadfd4ee,
CMIP6.PMIP.NCC.NorESM2-LM.midHolocene,none,r1i1p1f1,Amon,pr,gn,20191108,hdl:21.14100/76fdcab2-e855-49ff-97cb-edf9b7d0010f,
CMIP6.CMIP.NCC.NorESM2-LM.piControl,none,r1i1p1f1,Amon,pr,gn,20210118,hdl:21.14100/720e8a4c-18ef-4a49-a1eb-3adbfd1dc4a2,
CMIP6.PMIP.CSIRO.ACCESS-ESM1-5.lig127k,none,r1i1p1f1,Amon,tas,gn,20191206,hdl:21.14100/a72f9d41-5d91-42a1-ac1d-7388e3ea14a0,
CMIP6.CMIP.CSIRO.ACCESS-ESM1-5.piControl,none,r1i1p1f1,Amon,tas,gn,20191112,hdl:21.14100/6e9eac06-87dd-40b0-8ceb-c95a76538698,
CMIP6.PMIP.AWI.AWI-ESM-1-1-LR.lig127k,none,r1i1p1f1,Amon,tas,gn,20200212,hdl:21.14100/60ebe0bc-411d-4728-b5f1-306a26772a01,
CMIP6.CMIP.AWI.AWI-ESM-1-1-LR.piControl,none,r1i1p1f1,Amon,tas,gn,20200212,hdl:21.14100/da909048-e78e-4153-8230-69054d9fd5e5,
CMIP6.PMIP.NCAR.CESM2.lig127k,none,r1i1p1f1,Amon,tas,gn,20190923,hdl:21.14100/750a78e8-dbdb-456c-8358-7614bd59ee55,
CMIP6.PMIP.NCAR.CESM2.midHolocene,none,r1i1p1f1,Amon,tas,gn,20190923,hdl:21.14100/01079db4-69a4-46b3-a298-d1785dc3e74b,
CMIP6.PMIP.NCAR.CESM2.midPliocene-eoi400,none,r1i1p1f1,Amon,tas,gn,20200110,hdl:21.14100/98e758b7-6ea3-467d-9780-1e578488e78a,
CMIP6.CMIP.NCAR.CESM2.piControl,none,r1i1p1f1,Amon,tas,gn,20190320,hdl:21.14100/613911cb-8d9b-44a2-9664-2eee8f522acb,
CMIP6.PMIP.CNRM-CERFACS.CNRM-CM6-1.lig127k,none,r1i1p1f2,Amon,tas,gr,20200212,hdl:21.14100/787a1504-4ead-454d-9955-8fe0f6c8e3a6,
CMIP6.CMIP.CNRM-CERFACS.CNRM-CM6-1.piControl,none,r1i1p1f2,Amon,tas,gr,20180814,hdl:21.14100/f471a8e2-02e2-4c2f-accd-954700b3fc1f,
CMIP6.PMIP.EC-Earth-Consortium.EC-Earth3-LR.lig127k,none,r1i1p1f1,Amon,tas,gr,20200409,hdl:21.14100/dee1a8a5-f2a2-4d8e-8230-024798787697,
CMIP6.PMIP.EC-Earth-Consortium.EC-Earth3-LR.midHolocene,none,r1i1p1f1,Amon,tas,gr,20200409,hdl:21.14100/d5dd22d9-5cf5-41e8-8849-c9a315612409,
CMIP6.CMIP.EC-Earth-Consortium.EC-Earth3-LR.piControl,none,r1i1p1f1,Amon,tas,gr,20200409,hdl:21.14100/1c625e58-9ee5-4000-b35e-adc0c227dbc3,
CMIP6.PMIP.CAS.FGOALS-f3-L.lig127k,none,r1i1p1f1,Amon,tas,gr,20191025,hdl:21.14100/f8b0de6c-e66f-4765-b4ae-e6c96c9d5d48,
CMIP6.PMIP.CAS.FGOALS-f3-L.midHolocene,none,r1i1p1f1,Amon,tas,gr,20191025,hdl:21.14100/44e876c0-6185-4ed3-b7b6-8db8389b4607,
CMIP6.CMIP.CAS.FGOALS-f3-L.piControl,none,r1i1p1f1,Amon,tas,gr,20191029,hdl:21.14100/79b90466-40a6-48f3-bf71-80cb31fcb211,
CMIP6.PMIP.CAS.FGOALS-g3.lig127k,none,r1i1p1f1,Amon,tas,gn,20191030,hdl:21.14100/a912e4b8-bd0a-489e-9fc6-49c6f0aeae48,
CMIP6.PMIP.CAS.FGOALS-g3.midHolocene,none,r1i1p1f1,Amon,tas,gn,20191024,hdl:21.14100/57dfad01-6bc3-4c14-a626-ef3f8704dcaa,
CMIP6.CMIP.CAS.FGOALS-g3.piControl,none,r1i1p1f1,Amon,tas,gn,20190818,hdl:21.14100/09aea16f-92e2-4d67-ab58-b83b20b1549a,
CMIP6.PMIP.NASA-GISS.GISS-E2-1-G.lig127k,none,r1i1p1f1,Amon,tas,gn,20190916,hdl:21.14100/942c4af1-28f3-4cb1-b9ec-29a1868e36ff,
CMIP6.PMIP.NASA-GISS.GISS-E2-1-G.midHolocene,none,r1i1p1f1,Amon,tas,gn,20190916,hdl:21.14100/d1ad38c2-3db0-48b5-8438-805c908d4d1f,
CMIP6.PMIP.NASA-GISS.GISS-E2-1-G.midPliocene-eoi400,none,r1i1p1f1,Amon,tas,gn,20190626,hdl:21.14100/8500493a-0188-4a24-8f3f-765450fe5695,
